Date,Narration,Debit,Credit,Balance
2026-07-15,"UPI CR SWIGGY VENDOR PAYOUT",,18500.00,2148499.00
2026-07-14,"NEFT CR RAZORPAY UTIB20260714255607 SETTLEMENT",,68000.00,113000.00
2026-07-14,"NEFT CR WHOLESALE ADVANCE HIGHLANDSIPS",,9000.00,2157499.00
2026-07-13,"NEFT CR RAZORPAY UTIB20260713420385 SETTLEMENT",,20000.00,133000.00
2026-07-13,"IMPS CR CATERING EVENT DEPOSIT",,6000.00,2163499.00
2026-07-11,"NEFT CR RAZORPAY UTIB20260711400362 SETTLEMENT",,92000.00,225000.00
2026-07-10,"NEFT CR RAZORPAY UTIB20260710983290 SETTLEMENT",,45000.00,270000.00
2026-07-08,"NEFT CR RAZORPAY UTIB20260708492962 SETTLEMENT",,180000.00,450000.00
2026-07-07,"NEFT CR RAZORPAY UTIB20260707520336 SETTLEMENT",,67999.00,517999.00
2026-07-06,"NEFT CR RAZORPAY UTIB20260706182654 SETTLEMENT",,92000.00,609999.00
2026-07-05,"NEFT CR RAZORPAY UTIB20260705893762 SETTLEMENT",,115000.00,724999.00
2026-07-04,"NEFT CR RAZORPAY UTIB20260704522270 SETTLEMENT",,92000.00,816999.00
2026-07-03,"NEFT CR RAZORPAY UTIB20260703366381 SETTLEMENT",,180000.00,996999.00
2026-07-02,"NEFT CR RAZORPAY UTIB20260702769113 SETTLEMENT",,180000.00,1176999.00
2026-07-01,"NEFT CR RAZORPAY UTIB20260701498563 SETTLEMENT",,68000.00,1244999.00
2026-06-30,"NEFT CR RAZORPAY UTIB20260630984203 SETTLEMENT",,45000.00,1289999.00
2026-06-29,"NEFT CR RAZORPAY UTIB20260629387654 SETTLEMENT",,140000.00,1429999.00
2026-06-28,"NEFT CR RAZORPAY UTIB20260628622342 SETTLEMENT",,92000.00,1521999.00
2026-06-27,"NEFT CR RAZORPAY UTIB20260627339094 SETTLEMENT",,45000.00,1566999.00
2026-06-26,"NEFT CR RAZORPAY UTIB20260626738890 SETTLEMENT",,68000.00,1634999.00
2026-06-25,"NEFT CR RAZORPAY UTIB20260625582578 SETTLEMENT",,115000.00,1749999.00
2026-06-24,"NEFT CR RAZORPAY UTIB20260624777162 SETTLEMENT",,20000.00,1769999.00
2026-06-23,"NEFT CR RAZORPAY UTIB20260623262503 SETTLEMENT",,180000.00,1949999.00
2026-06-22,"NEFT CR RAZORPAY UTIB20260622114150 SETTLEMENT",,45000.00,1994999.00
2026-06-21,"NEFT CR RAZORPAY UTIB20260621399999 SETTLEMENT",,20000.00,2014999.00
2026-06-20,"NEFT CR RAZORPAY UTIB20260620688258 SETTLEMENT",,115000.00,2129999.00
